"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2001/02","S08000032","SMR01"," ",790,780,690,610," ",":"
"2001/02","S08000032","SMR04"," ",2900,2920,2570,2000,"600"," "
"2001/02","S08000024","Total","d",6450,6470,5530,4180,"900"," "
"2001/02","S08000024","SMR01"," ",1310,1290,1050,970," ",":"
"2001/02","S08000024","SMR04"," ",5140,5170,4470,3340,"900"," "
"2001/02","S08000025","Total","d",80,80,80,60,"0"," "
"2001/02","S08000025","SMR01"," ",80,80,80,60," ",":"
"2001/02","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2001/02","S08000026","Total","d",80,80,80,70,"0"," "
"2001/02","S08000026","SMR01"," ",80,80,80,70," ",":"
"2001/02","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2001/02","S08000030","Total","d",3190,3240,2910,2260,"550"," "
"2001/02","S08000030","SMR01"," ",600,600,580,520," ",":"
"2001/02","S08000030","SMR04"," ",2590,2640,2330,1810,"550"," "
"2001/02","S08000028","Total","d",340,330,320,220,"40"," "
"2001/02","S08000028","SMR01"," ",160,160,160,120," ",":"
"2001/02","S08000028","SMR04"," ",180,180,170,100,"40"," "
"2001/02","SB0802","Total","d",160,150,20,140,"230"," "
"2001/02","SB0802","SMR01"," ",0,0,0,0," ",":"
"2001/02","SB0802","SMR04"," ",160,150,20,140,"230"," "
"2002/03","S08000015","Total","d",2840,2870,2710,2020,"360"," "
"2002/03","S08000015","SMR01"," ",770,770,750,640," ",":"
"2002/03","S08000015","SMR04"," ",2070,2100,1960,1460,"360"," "
"2002/03","S08000016","Total","d",980,990,890,680,"110"," "
"2002/03","S08000016","SMR01"," ",290,290,270,240," ",":"
"2002/03","S08000016","SMR04"," ",690,700,620,470,"110"," "
"2002/03","S08000017","Total","d",1020,1020,940,740,"140"," "
"2002/03","S08000017","SMR01"," ",260,260,230,200," ",":"
"2002/03","S08000017","SMR04"," ",760,760,720,560,"140"," "
"2002/03","S08000029","Total","d",2130,2220,1910,1470,"330"," "
"2002/03","S08000029","SMR01"," ",340,340,270,260," ",":"
"2002/03","S08000029","SMR04"," ",1790,1880,1640,1230,"330"," "
"2002/03","S08000019","Total","d",1600,1590,1400,1140,"310"," "
"2002/03","S08000019","SMR01"," ",270,270,270,250," ",":"
"2002/03","S08000019","SMR04"," ",1340,1320,1140,920,"310"," "
"2002/03","S08000020","Total","d",3200,3250,2940,2310,"520"," "
"2002/03","S08000020","SMR01"," ",880,890,860,740," ",":"
"2002/03","S08000020","SMR04"," ",2320,2350,2090,1640,"520"," "
"2002/03","S08000031","Total","d",10150,10200,8980,7170,"1700"," "
"2002/03","S08000031","SMR01"," ",2880,2870,2350,2170," ",":"
"2002/03","S08000031","SMR04"," ",7270,7320,6630,5220,"1700"," "
"2002/03","S08000022","Total","d",3050,3040,2890,2090,"310"," "
"2002/03","S08000022","SMR01"," ",1050,1040,980,790," ",":"
"2002/03","S08000022","SMR04"," ",2000,2000,1910,1420,"310"," "
"2002/03","S08000032","Total","d",3870,3910,3440,2740,"570"," "
"2002/03","S08000032","SMR01"," ",900,900,760,680," ",":"
"2002/03","S08000032","SMR04"," ",2970,3010,2680,2140,"570"," "
"2002/03","S08000024","Total","d",6540,6580,5620,4260,"870"," "
"2002/03","S08000024","SMR01"," ",1440,1440,1170,1060," ",":"
"2002/03","S08000024","SMR04"," ",5110,5130,4440,3330,"870"," "
"2002/03","S08000025","Total","d",60,60,60,60,"0"," "
"2002/03","S08000025","SMR01"," ",60,60,60,60," ",":"
"2002/03","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2002/03","S08000026","Total","d",100,100,100,70,"0"," "
"2002/03","S08000026","SMR01"," ",100,100,100,70," ",":"
"2002/03","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2002/03","S08000030","Total","d",2810,2860,2580,2080,"500"," "
"2002/03","S08000030","SMR01"," ",510,510,490,440," ",":"
"2002/03","S08000030","SMR04"," ",2300,2350,2090,1680,"500"," "
"2002/03","S08000028","Total","d",360,360,350,220,"40"," "
"2002/03","S08000028","SMR01"," ",180,180,180,140," ",":"
"2002/03","S08000028","SMR04"," ",180,180,170,100,"40"," "
"2002/03","SB0802","Total","d",260,260,30,170,"240"," "
"2002/03","SB0802","SMR01"," ",0,0,0,0," ",":"
"2002/03","SB0802","SMR04"," ",260,260,30,170,"240"," "
"2003/04","S08000015","Total","d",2880,2880,2670,2030,"360"," "
"2003/04","S08000015","SMR01"," ",830,830,790,670," ",":"
"2003/04","S08000015","SMR04"," ",2050,2040,1880,1440,"360"," "
"2003/04","S08000016","Total","d",1050,1040,930,680,"120"," "
"2003/04","S08000016","SMR01"," ",290,280,260,230," ",":"
"2003/04","S08000016","SMR04"," ",760,760,670,480,"120"," "
"2003/04","S08000017","Total","d",980,1000,890,690,"120"," "
"2003/04","S08000017","SMR01"," ",210,210,180,170," ",":"
"2003/04","S08000017","SMR04"," ",770,790,710,550,"120"," "
"2003/04","S08000029","Total","d",2090,2060,1820,1400,"370"," "
"2003/04","S08000029","SMR01"," ",300,310,260,230," ",":"
"2003/04","S08000029","SMR04"," ",1790,1750,1560,1190,"370"," "
"2003/04","S08000019","Total","d",1670,1700,1450,1170,"290"," "
"2003/04","S08000019","SMR01"," ",320,320,300,280," ",":"
"2003/04","S08000019","SMR04"," ",1360,1380,1150,920,"290"," "
"2003/04","S08000020","Total","d",3300,3330,2920,2330,"480"," "
"2003/04","S08000020","SMR01"," ",920,910,820,730," ",":"
"2003/04","S08000020","SMR04"," ",2380,2420,2100,1660,"480"," "
"2003/04","S08000031","Total","d",10010,10160,8770,7090,"1560"," "
"2003/04","S08000031","SMR01"," ",3090,3090,2450,2220," ",":"
"2003/04","S08000031","SMR04"," ",6920,7070,6320,5080,"1560"," "
"2003/04","S08000022","Total","d",2860,2880,2690,2040,"290"," "
"2003/04","S08000022","SMR01"," ",1020,1020,900,760," ",":"
"2003/04","S08000022","SMR04"," ",1850,1870,1790,1400,"290"," "
"2003/04","S08000032","Total","d",3930,3910,3290,2690,"580"," "
"2003/04","S08000032","SMR01"," ",1040,1030,800,710," ",":"
"2003/04","S08000032","SMR04"," ",2890,2880,2480,2070,"580"," "
"2003/04","S08000024","Total","d",6280,6260,5260,4140,"880"," "
"2003/04","S08000024","SMR01"," ",1470,1460,1140,1050," ",":"
"2003/04","S08000024","SMR04"," ",4810,4790,4120,3230,"880"," "
"2003/04","S08000025","Total","d",80,80,80,60,"0"," "
"2003/04","S08000025","SMR01"," ",80,80,80,60," ",":"
"2003/04","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2003/04","S08000026","Total","d",90,90,90,70,"0"," "
"2003/04","S08000026","SMR01"," ",90,90,90,70," ",":"
"2003/04","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2003/04","S08000030","Total","d",2940,2950,2640,2140,"490"," "
"2003/04","S08000030","SMR01"," ",550,560,530,490," ",":"
"2003/04","S08000030","SMR04"," ",2390,2390,2100,1710,"490"," "
"2003/04","S08000028","Total","d",400,400,390,260,"40"," "
"2003/04","S08000028","SMR01"," ",220,220,210,170," ",":"
"2003/04","S08000028","SMR04"," ",190,180,180,110,"40"," "
"2003/04","SB0802","Total","d",270,280,30,160,"230"," "
"2003/04","SB0802","SMR01"," ",0,0,0,0," ",":"
"2003/04","SB0802","SMR04"," ",270,280,30,160,"230"," "
"2004/05","S08000015","Total","d",3000,3000,2770,2030,"370"," "
"2004/05","S08000015","SMR01"," ",930,940,870,700," ",":"
"2004/05","S08000015","SMR04"," ",2070,2060,1890,1430,"370"," "
"2004/05","S08000016","Total","d",1050,1050,940,680,"110"," "
"2004/05","S08000016","SMR01"," ",280,280,250,210," ",":"
"2004/05","S08000016","SMR04"," ",770,780,680,500,"110"," "
"2004/05","S08000017","Total","d",940,930,850,670,"130"," "
"2004/05","S08000017","SMR01"," ",220,210,190,180," ",":"
"2004/05","S08000017","SMR04"," ",730,720,660,520,"130"," "
"2004/05","S08000029","Total","d",1960,1980,1730,1360,"350"," "
"2004/05","S08000029","SMR01"," ",290,290,230,220," ",":"
"2004/05","S08000029","SMR04"," ",1660,1680,1490,1170,"350"," "
