"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2015/16","S08000017","SMR01"," ",590,590,440,290," ",":"
"2015/16","S08000017","SMR04"," ",780,800,650,380,"50"," "
"2015/16","S08000029","Total","d",2570,2580,1870,1560,"220"," "
"2015/16","S08000029","SMR01"," ",1130,1120,740,660," ",":"
"2015/16","S08000029","SMR04"," ",1450,1460,1130,960,"220"," "
"2015/16","S08000019","Total","d",1960,1940,1510,1230,"170"," "
"2015/16","S08000019","SMR01"," ",580,570,400,360," ",":"
"2015/16","S08000019","SMR04"," ",1380,1370,1100,910,"170"," "
"2015/16","S08000020","Total","d",3120,3110,2640,2120,"320"," "
"2015/16","S08000020","SMR01"," ",1180,1190,1000,850," ",":"
"2015/16","S08000020","SMR04"," ",1930,1920,1640,1320,"320"," "
"2015/16","S08000031","Total","d",12510,12480,8220,6650,"1080"," "
"2015/16","S08000031","SMR01"," ",7000,7010,3790,3000," ",":"
"2015/16","S08000031","SMR04"," ",5500,5480,4420,3920,"1080"," "
"2015/16","S08000022","Total","d",2350,2350,1760,1440,"180"," "
"2015/16","S08000022","SMR01"," ",1060,1060,700,630," ",":"
"2015/16","S08000022","SMR04"," ",1290,1290,1060,890,"180"," "
"2015/16","S08000032","Total","d",4800,4830,3080,2500,"310"," "
"2015/16","S08000032","SMR01"," ",2980,2980,1520,1270," ",":"
"2015/16","S08000032","SMR04"," ",1820,1850,1550,1320,"310"," "
"2015/16","S08000024","Total","d",6430,6470,4590,3860,"580"," "
"2015/16","S08000024","SMR01"," ",2940,2930,1870,1700," ",":"
"2015/16","S08000024","SMR04"," ",3500,3540,2730,2320,"580"," "
"2015/16","S08000025","Total","d",60,60,60,50,"0"," "
"2015/16","S08000025","SMR01"," ",60,60,60,50," ",":"
"2015/16","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2015/16","S08000026","Total","d",70,70,70,60,"0"," "
"2015/16","S08000026","SMR01"," ",70,70,70,60," ",":"
"2015/16","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2015/16","S08000030","Total","d",3640,3630,2760,2200,"290"," "
"2015/16","S08000030","SMR01"," ",1250,1240,810,750," ",":"
"2015/16","S08000030","SMR04"," ",2390,2390,1950,1540,"290"," "
"2015/16","S08000028","Total","d",150,150,110,110,"20"," "
"2015/16","S08000028","SMR01"," ",110,110,80,70," ",":"
"2015/16","S08000028","SMR04"," ",40,40,30,40,"20"," "
"2015/16","SB0802","Total","d",90,90,20,80,"120"," "
"2015/16","SB0802","SMR01"," ",0,0,0,0," ",":"
"2015/16","SB0802","SMR04"," ",90,90,20,80,"120"," "
"2016/17","S08000015","Total","d",2680,2680,1940,1590,"190"," "
"2016/17","S08000015","SMR01"," ",1460,1460,940,790," ",":"
"2016/17","S08000015","SMR04"," ",1220,1220,1000,880,"190"," "
"2016/17","S08000016","Total","d",710,700,550,460,"60"," "
"2016/17","S08000016","SMR01"," ",260,260,190,160," ",":"
"2016/17","S08000016","SMR04"," ",440,440,360,310,"60"," "
"2016/17","S08000017","Total","d",1560,1550,1080,610,"70"," "
"2016/17","S08000017","SMR01"," ",710,720,540,300," ",":"
"2016/17","S08000017","SMR04"," ",850,840,540,370,"70"," "
"2016/17","S08000029","Total","d",2860,2780,1990,1650,"270"," "
"2016/17","S08000029","SMR01"," ",1360,1360,850,770," ",":"
"2016/17","S08000029","SMR04"," ",1490,1420,1140,950,"270"," "
"2016/17","S08000019","Total","d",2120,2110,1550,1260,"170"," "
"2016/17","S08000019","SMR01"," ",690,680,450,400," ",":"
"2016/17","S08000019","SMR04"," ",1430,1420,1100,900,"170"," "
"2016/17","S08000020","Total","d",3020,3010,2520,2050,"310"," "
"2016/17","S08000020","SMR01"," ",1320,1310,1030,860," ",":"
"2016/17","S08000020","SMR04"," ",1690,1700,1500,1250,"310"," "
"2016/17","S08000031","Total","d",13570,13670,8780,6980,"980"," "
"2016/17","S08000031","SMR01"," ",8430,8430,4410,3450," ",":"
"2016/17","S08000031","SMR04"," ",5140,5240,4370,3810,"980"," "
"2016/17","S08000022","Total","d",2180,2180,1710,1420,"180"," "
"2016/17","S08000022","SMR01"," ",1110,1100,770,670," ",":"
"2016/17","S08000022","SMR04"," ",1080,1080,940,820,"180"," "
"2016/17","S08000032","Total","d",5060,5060,3150,2620,"300"," "
"2016/17","S08000032","SMR01"," ",3160,3160,1580,1390," ",":"
"2016/17","S08000032","SMR04"," ",1890,1900,1570,1340,"300"," "
"2016/17","S08000024","Total","d",6460,6460,4560,3710,"580"," "
"2016/17","S08000024","SMR01"," ",2980,2980,1840,1620," ",":"
"2016/17","S08000024","SMR04"," ",3470,3480,2720,2230,"580"," "
"2016/17","S08000025","Total","d",30,30,20,20,"0"," "
"2016/17","S08000025","SMR01"," ",30,30,20,20," ",":"
"2016/17","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2016/17","S08000026","Total","d",70,70,70,70,"0"," "
"2016/17","S08000026","SMR01"," ",70,70,70,70," ",":"
"2016/17","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2016/17","S08000030","Total","d",3740,3750,2800,2240,"280"," "
"2016/17","S08000030","SMR01"," ",1350,1360,870,770," ",":"
"2016/17","S08000030","SMR04"," ",2390,2400,1930,1560,"280"," "
"2016/17","S08000028","Total","d",140,140,120,90,"20"," "
"2016/17","S08000028","SMR01"," ",110,110,90,70," ",":"
"2016/17","S08000028","SMR04"," ",40,40,30,30,"20"," "
"2016/17","SB0802","Total","d",140,140,20,100,"110"," "
"2016/17","SB0802","SMR01"," ",0,0,0,0," ",":"
"2016/17","SB0802","SMR04"," ",140,140,20,100,"110"," "
"2017/18","S08000015","Total","d",2560,2560,1910,1530,"200"," "
"2017/18","S08000015","SMR01"," ",1450,1460,930,760," ",":"
"2017/18","S08000015","SMR04"," ",1110,1100,980,870,"200"," "
"2017/18","S08000016","Total","d",830,820,610,500,"60"," "
"2017/18","S08000016","SMR01"," ",400,400,260,220," ",":"
"2017/18","S08000016","SMR04"," ",430,420,350,290,"60"," "
"2017/18","S08000017","Total","d",1530,1520,1050,640,"70"," "
"2017/18","S08000017","SMR01"," ",700,700,470,300," ",":"
"2017/18","S08000017","SMR04"," ",830,830,580,390,"70"," "
"2017/18","S08000029","Total","d",3520,3520,2270,1820,"280"," "
"2017/18","S08000029","SMR01"," ",1990,1980,1180,1050," ",":"
"2017/18","S08000029","SMR04"," ",1530,1540,1090,860,"280"," "
"2017/18","S08000019","Total","d",2170,2140,1600,1290,"190"," "
"2017/18","S08000019","SMR01"," ",810,810,570,490," ",":"
"2017/18","S08000019","SMR04"," ",1360,1330,1040,860,"190"," "
"2017/18","S08000020","Total","d",3030,3030,2530,2020,"320"," "
"2017/18","S08000020","SMR01"," ",1230,1240,980,800," ",":"
"2017/18","S08000020","SMR04"," ",1800,1790,1560,1280,"320"," "
"2017/18","S08000031","Total","d",14760,14780,9140,7290,"960"," "
"2017/18","S08000031","SMR01"," ",9210,9200,4690,3660," ",":"
"2017/18","S08000031","SMR04"," ",5550,5590,4450,3930,"960"," "
"2017/18","S08000022","Total","d",2130,2150,1670,1380,"170"," "
"2017/18","S08000022","SMR01"," ",1040,1050,720,640," ",":"
"2017/18","S08000022","SMR04"," ",1090,1100,940,820,"170"," "
"2017/18","S08000032","Total","d",5330,5360,3100,2580,"270"," "
"2017/18","S08000032","SMR01"," ",3600,3590,1660,1430," ",":"
"2017/18","S08000032","SMR04"," ",1740,1770,1440,1240,"270"," "
"2017/18","S08000024","Total","d",6870,6880,4560,3770,"560"," "
"2017/18","S08000024","SMR01"," ",3380,3380,1890,1700," ",":"
"2017/18","S08000024","SMR04"," ",3480,3510,2670,2220,"560"," "
"2017/18","S08000025","Total","d",70,70,60,50,"0"," "
"2017/18","S08000025","SMR01"," ",70,70,60,50," ",":"
"2017/18","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2017/18","S08000026","Total","d",90,90,90,70,"0"," "
"2017/18","S08000026","SMR01"," ",90,90,90,70," ",":"
"2017/18","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2017/18","S08000030","Total","d",3520,3490,2620,2170,"310"," "
"2017/18","S08000030","SMR01"," ",1570,1560,1010,870," ",":"
"2017/18","S08000030","SMR04"," ",1950,1930,1610,1400,"310"," "
"2017/18","S08000028","Total","d",190,200,160,120,"20"," "
"2017/18","S08000028","SMR01"," ",150,150,120,90," ",":"
"2017/18","S08000028","SMR04"," ",40,40,40,40,"20"," "
"2017/18","SB0802","Total","d",120,120,20,80,"110"," "
"2017/18","SB0802","SMR01"," ",0,0,0,0," ",":"
"2017/18","SB0802","SMR04"," ",120,120,20,80,"110"," "
"2018/19","S08000015","Total","d",2670,2680,2000,1620,"180"," "
"2018/19","S08000015","SMR01"," ",1550,1530,970,820," ",":"
"2018/19","S08000015","SMR04"," ",1120,1150,1030,890,"180"," "
"2018/19","S08000016","Total","d",850,860,550,470,"60"," "
"2018/19","S08000016","SMR01"," ",440,440,220,200," ",":"
"2018/19","S08000016","SMR04"," ",420,420,320,280,"60"," "
"2018/19","S08000017","Total","d",1730,1720,1140,600,"80"," "
"2018/19","S08000017","SMR01"," ",690,690,530,260," ",":"
"2018/19","S08000017","SMR04"," ",1040,1020,610,390,"80"," "
"2018/19","S08000029","Total","d",3630,3620,2340,1850,"280"," "
"2018/19","S08000029","SMR01"," ",2070,2060,1240,1070," ",":"
"2018/19","S08000029","SMR04"," ",1560,1560,1100,870,"280"," "
"2018/19","S08000019","Total","d",2150,2130,1570,1260,"170"," "
"2018/19","S08000019","SMR01"," ",890,890,600,510," ",":"
"2018/19","S08000019","SMR04"," ",1260,1240,970,810,"170"," "
"2018/19","S08000020","Total","d",3210,3220,2620,2110,"310"," "
"2018/19","S08000020","SMR01"," ",1450,1440,1120,940," ",":"
"2018/19","S08000020","SMR04"," ",1760,1770,1500,1240,"310"," "
"2018/19","S08000031","Total","d",15300,15270,9290,7200,"990"," "
"2018/19","S08000031","SMR01"," ",9060,9050,4620,3570," ",":"
"2018/19","S08000031","SMR04"," ",6250,6220,4670,3940,"990"," "
"2018/19","S08000022","Total","d",2130,2120,1610,1350,"160"," "
"2018/19","S08000022","SMR01"," ",1210,1200,820,710," ",":"
"2018/19","S08000022","SMR04"," ",920,930,800,720,"160"," "
"2018/19","S08000032","Total","d",5790,5770,3310,2650,"280"," "
"2018/19","S08000032","SMR01"," ",4050,4030,1880,1580," ",":"
"2018/19","S08000032","SMR04"," ",1740,1730,1420,1180,"280"," "
"2018/19","S08000024","Total","d",7060,7100,4760,3940,"530"," "
"2018/19","S08000024","SMR01"," ",3600,3610,2100,1860," ",":"
"2018/19","S08000024","SMR04"," ",3460,3490,2660,2240,"530"," "
"2018/19","S08000025","Total","d",70,70,60,50,"0"," "
"2018/19","S08000025","SMR01"," ",70,70,60,50," ",":"
"2018/19","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2018/19","S08000026","Total","d",90,90,90,80,"0"," "
"2018/19","S08000026","SMR01"," ",90,90,90,80," ",":"
"2018/19","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2018/19","S08000030","Total","d",3850,3870,2910,2340,"290"," "
"2018/19","S08000030","SMR01"," ",1620,1620,1090,960," ",":"
"2018/19","S08000030","SMR04"," ",2240,2260,1820,1510,"290"," "
"2018/19","S08000028","Total","d",190,200,150,130,"10"," "
"2018/19","S08000028","SMR01"," ",140,140,100,90," ",":"
"2018/19","S08000028","SMR04"," ",50,60,50,50,"10"," "
"2018/19","SB0802","Total","d",80,80,20,60,"110"," "
"2018/19","SB0802","SMR01"," ",0,0,0,0," ",":"
"2018/19","SB0802","SMR04"," ",80,80,20,60,"110"," "
"2019/20","S08000015","Total","d",2490,2520,1820,1480,"160"," "
"2019/20","S08000015","SMR01"," ",1480,1500,910,770," ",":"
"2019/20","S08000015","SMR04"," ",1010,1030,910,780,"160"," "
"2019/20","S08000016","Total","d",970,990,680,540,"40"," "
"2019/20","S08000016","SMR01"," ",510,510,280,240," ",":"
"2019/20","S08000016","SMR04"," ",460,480,400,320,"40"," "
"2019/20","S08000017","Total","d",1640,1650,1180,640,"70"," "
"2019/20","S08000017","SMR01"," ",780,780,550,290," ",":"
"2019/20","S08000017","SMR04"," ",870,870,630,420,"70"," "
"2019/20","S08000029","Total","d",3450,3530,2300,1830,"220"," "
"2019/20","S08000029","SMR01"," ",1950,1970,1210,1030," ",":"
"2019/20","S08000029","SMR04"," ",1500,1570,1090,860,"220"," "
"2019/20","S08000019","Total","d",3320,3370,1660,1390,"170"," "
"2019/20","S08000019","SMR01"," ",2040,2050,850,730," ",":"
"2019/20","S08000019","SMR04"," ",1280,1320,810,750,"170"," "
"2019/20","S08000020","Total","d",3300,3360,2800,2130,"250"," "
"2019/20","S08000020","SMR01"," ",1430,1440,1180,950," ",":"
"2019/20","S08000020","SMR04"," ",1870,1920,1620,1250,"250"," "
"2019/20","S08000031","Total","d",16190,16440,9710,7390,"790"," "
"2019/20","S08000031","SMR01"," ",10040,10090,5000,3740," ",":"
"2019/20","S08000031","SMR04"," ",6150,6350,4710,3960,"790"," "
"2019/20","S08000022","Total","d",2160,2200,1610,1340,"140"," "
"2019/20","S08000022","SMR01"," ",1260,1280,840,730," ",":"
"2019/20","S08000022","SMR04"," ",900,920,770,670,"140"," "
"2019/20","S08000032","Total","d",6090,6200,3540,2820,"200"," "
"2019/20","S08000032","SMR01"," ",4450,4490,2090,1700," ",":"
"2019/20","S08000032","SMR04"," ",1640,1710,1460,1220,"200"," "
"2019/20","S08000024","Total","d",7570,7670,5090,4100,"460"," "
"2019/20","S08000024","SMR01"," ",4060,4100,2270,1910," ",":"
"2019/20","S08000024","SMR04"," ",3500,3570,2820,2320,"460"," "
"2019/20","S08000025","Total","d",60,60,60,40,"0"," "
"2019/20","S08000025","SMR01"," ",60,60,60,40," ",":"
"2019/20","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2019/20","S08000026","Total","d",100,100,90,80,"0"," "
"2019/20","S08000026","SMR01"," ",100,100,90,80," ",":"
"2019/20","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2019/20","S08000030","Total","d",4060,4130,2970,2410,"250"," "
"2019/20","S08000030","SMR01"," ",2060,2080,1300,1090," ",":"
"2019/20","S08000030","SMR04"," ",2000,2040,1670,1420,"250"," "
"2019/20","S08000028","Total","d",180,190,150,130,"10"," "
"2019/20","S08000028","SMR01"," ",130,130,100,100," ",":"
"2019/20","S08000028","SMR04"," ",50,50,40,40,"10"," "
"2019/20","SB0802","Total","d",90,90,20,80,"110"," "
"2019/20","SB0802","SMR01"," ",0,0,0,0," ",":"
"2019/20","SB0802","SMR04"," ",90,90,20,80,"110"," "
"2020/21","S08000015","Total","d",2310,2300,1720,1430,"170"," "
"2020/21","S08000015","SMR01"," ",1370,1390,920,780," ",":"
"2020/21","S08000015","SMR04"," ",930,920,800,710,"170"," "
"2020/21","S08000016","Total","d",950,950,620,480,"40"," "
"2020/21","S08000016","SMR01"," ",490,500,250,220," ",":"
"2020/21","S08000016","SMR04"," ",460,460,370,270,"40"," "
"2020/21","S08000017","Total","d",1340,1320,1020,600,"90"," "
"2020/21","S08000017","SMR01"," ",660,670,480,260," ",":"
"2020/21","S08000017","SMR04"," ",670,650,540,370,"90"," "
"2020/21","S08000029","Total","d",2880,2880,1890,1500,"240"," "
"2020/21","S08000029","SMR01"," ",1760,1790,1100,910," ",":"
"2020/21","S08000029","SMR04"," ",1120,1100,790,640,"240"," "
"2020/21","S08000019","Total","d",3580,3600,1610,1270,"190"," "
"2020/21","S08000019","SMR01"," ",2250,2260,820,680," ",":"
"2020/21","S08000019","SMR04"," ",1330,1340,790,670,"190"," "
"2020/21","S08000020","Total","d",3350,3320,2660,2030,"280"," "
"2020/21","S08000020","SMR01"," ",1540,1550,1210,990," ",":"
"2020/21","S08000020","SMR04"," ",1810,1780,1450,1100,"280"," "
"2020/21","S08000031","Total","d",16320,16360,8820,6660,"790"," "
"2020/21","S08000031","SMR01"," ",10370,10420,4640,3500," ",":"
"2020/21","S08000031","SMR04"," ",5950,5940,4180,3460,"790"," "
"2020/21","S08000022","Total","d",1950,1970,1260,1080,"130"," "
"2020/21","S08000022","SMR01"," ",1260,1280,740,640," ",":"
"2020/21","S08000022","SMR04"," ",690,690,520,500,"130"," "
"2020/21","S08000032","Total","d",5090,5130,3140,2410,"180"," "
"2020/21","S08000032","SMR01"," ",3660,3670,1860,1480," ",":"
"2020/21","S08000032","SMR04"," ",1430,1450,1280,1000,"180"," "
"2020/21","S08000024","Total","d",7920,7900,5020,3990,"510"," "
"2020/21","S08000024","SMR01"," ",4310,4340,2300,1910," ",":"
"2020/21","S08000024","SMR04"," ",3620,3560,2730,2250,"510"," "
"2020/21","S08000025","Total","d",60,60,50,40,"0"," "
"2020/21","S08000025","SMR01"," ",60,60,50,40," ",":"
"2020/21","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2020/21","S08000026","Total","d",70,70,60,60,"0"," "
"2020/21","S08000026","SMR01"," ",70,70,60,60," ",":"
"2020/21","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2020/21","S08000030","Total","d",3540,3540,2630,2100,"260"," "
"2020/21","S08000030","SMR01"," ",1730,1730,1140,950," ",":"
"2020/21","S08000030","SMR04"," ",1810,1800,1480,1260,"260"," "
"2020/21","S08000028","Total","d",150,150,120,100,"10"," "
"2020/21","S08000028","SMR01"," ",80,80,70,60," ",":"
"2020/21","S08000028","SMR04"," ",60,70,50,50,"10"," "
"2020/21","SB0802","Total","d",40,50,20,40,"90"," "
"2020/21","SB0802","SMR01"," ",0,0,0,0," ",":"
"2020/21","SB0802","SMR04"," ",40,50,20,40,"90"," "
